neuron,category,formula,threshold
106,(((object-X OR scene OR scene OR scene OR object-X OR object-X OR scene OR scene) AND NOT scene) OR scene),(((pitch-X OR bullring-s OR volleyball court-outdoor-s OR batters box-s OR grandstand-X OR tennis court-X OR baseball field-s OR badminton court-outdoor-s) AND NOT amphitheater-s) OR bullpen-s),4.2
107,((((object-X OR scene OR scene OR object-X) AND NOT scene) OR scene OR scene) AND NOT (object-X OR scene)),((((arcade machine-X OR playroom-s OR kindergarden classroom-s OR plaything-X) AND NOT nursery-s) OR day care center-s OR convenience store-outdoor-s) AND NOT (painting-X OR supermarket-s)),5.0
108,((((object-X OR scene OR scene OR scene OR object OR scene OR scene) AND NOT scene) OR scene) CLOSE TO color),((((pool table-X OR fairway-s OR golf course-s OR bullpen-s OR sea OR baseball field-s OR casino-indoor-s) AND NOT coast-s) OR stadium-baseball-s) CLOSE TO green-c),5.1
109,((scene OR scene OR scene OR object) CLOSE TO ((((object OR object) AND NOT (color-X OR object)) OR object) AND NOT object-X)),((art gallery-s OR museum-indoor-s OR art school-s OR drawing) CLOSE TO ((((painting OR drawing) AND NOT (yellow-c-X OR person)) OR board) AND NOT case-X)),4.7
110,(((object-X OR scene OR scene) CLOSE TO (color-X OR scene)) OR scene OR scene OR object OR scene OR scene),(((person-X OR greenhouse-indoor-s OR vegetable garden-s) CLOSE TO (green-c-X OR archaelogical excavation-s)) OR herb garden-s OR hat shop-s OR vineyard OR orchard-s OR beer garden-s),3.8
111,((((object-X AND color-X) OR object-X OR scene OR object-X OR scene OR scene) AND NOT scene) OR object-X OR scene),((((field-X AND green-c-X) OR autobus-X OR fire station-s OR terraces-X OR field-cultivated-s OR football field-s) AND NOT field-wild-s) OR inflatable bounce game-X OR dolmen-s),3.9
112,((object-X OR part-X) CLOSE TO ((((((object-X OR scene) AND NOT object) OR scene) AND NOT object-X) OR scene) AND NOT (object-X OR object-X))),((table-X OR back-X) CLOSE TO ((((((chair-X OR conference room-s) AND NOT chair) OR dining room-s) AND NOT chair-X) OR dinette-home-s) AND NOT (table-X OR floor-X))),8.0
113,((scene OR scene OR object-X OR object-X OR object-X OR object-X OR scene OR scene) AND NOT (scene OR object)),((bowling alley-s OR temple-east asia-s OR escalator-X OR viaduct-X OR aqueduct-X OR tunnel-X OR covered bridge-interior-s OR pagoda-s) AND NOT (airport terminal-s OR water)),3.9
114,((object-X OR object-X OR object-X OR scene OR object-X OR scene OR scene OR scene) AND NOT scene),((plane-X OR helicopter-X OR runway-X OR witness stand-s OR swivel chair-X OR runway-s OR air base-s OR heliport-s) AND NOT dining room-s),4.9
115,(((object-X OR object-X) AND NOT object) OR scene OR scene OR scene OR object-X OR object-X OR scene OR object-X),(((earth-X OR aquarium-X) AND NOT earth) OR junkyard-s OR beach house-s OR military hut-s OR straw-X OR fish-X OR water mill-s OR caravan-X),3.5
116,((((object-X OR scene) CLOSE object-X) OR scene OR scene OR object-X OR scene) CLOSE ((color-X OR scene) AND NOT color-X)),((((palm-X OR roundabout-s) CLOSE sky-X) OR bayou-s OR volleyball court-outdoor-s OR terraces-X OR flood-s) CLOSE ((green-c-X OR bayou-s) AND NOT blue-c-X)),4.4
117,(((scene OR scene) AND NOT (object OR color-X OR color)) CLOSE (object AND NOT (color OR color-X OR color-X OR color-X))),(((airplane cabin-s OR attic-s) AND NOT (bed OR red-c-X OR pink-c)) CLOSE (wall AND NOT (brown-c OR orange-c-X OR yellow-c-X OR purple-c-X))),4.3
118,(((((object-X OR scene) CLOSE object-X) OR object OR scene OR scene) AND NOT object) CLOSE TO (object AND NOT (object OR color))),(((((skyscraper-X OR downtown-s) CLOSE building-X) OR skyscraper OR oast house-s OR freeway-s) AND NOT tree) CLOSE TO (sky AND NOT (skyscraper OR black-c))),4.4
119,((((object-X OR object-X OR object-X OR object-X) AND NOT object-X) OR object-X OR object-X OR object-X OR object-X) AND NOT scene),((((sidewalk-X OR railroad train-X OR pier-X OR railway-X) AND NOT building-X) OR deck-X OR platform-X OR footbridge-X OR tracks-X) AND NOT street-s),4.9
120,(scene OR object-X OR object-X OR object-X OR object-X OR scene OR object OR object OR object OR scene),(gazebo-exterior-s OR water tower-X OR telephone booth-X OR watchtower-X OR box office-X OR outhouse-outdoor-s OR controls OR arcade machine OR bandstand OR fitting room-interior-s),4.2
121,((scene OR scene OR scene OR scene OR scene OR scene) CLOSE ((object-X OR color OR object) AND NOT color-X)),((park-s OR campus-s OR forest-broadleaf-s OR forest path-s OR forest road-s OR botanical garden-s) CLOSE ((sky-X OR yellow-c OR building) AND NOT black-c-X)),5.1
122,(((((scene OR scene OR object-X OR scene OR object OR object-X) AND NOT color) OR object) AND NOT color) OR object),(((((zen garden-s OR desert-sand-s OR labyrinth-X OR manhole-s OR temple OR straw-X) AND NOT orange-c) OR forecourt) AND NOT orange-c) OR temple),4.8
123,(((scene OR object-X) CLOSE object-X) OR object-X OR object-X OR object-X OR object-X),(((gas station-s OR signboard-X) CLOSE sky-X) OR service station-X OR water tower-X OR gas station-X OR gas pump-X),4.3
124,(((((((scene CLOSE TO object & object-X) AND NOT object) OR scene) CLOSE TO object-X) OR scene) CLOSE TO (object AND NOT object)) OR object-X),(((((((dining room-s CLOSE TO table & wall-X) AND NOT chair) OR inn-indoor-s) CLOSE TO chair-X) OR banquet hall-s) CLOSE TO (table AND NOT chair)) OR countertop-X),6.4
125,(((scene CLOSE (object-X OR object-X)) OR object-X OR object) CLOSE TO ((object-X OR scene OR scene) AND NOT (object-X OR object))),(((kitchen-s CLOSE (stove-X OR sink-X)) OR bottle-X OR work surface) CLOSE TO ((wall-X OR liquor store-indoor-s OR bar-s) AND NOT (work surface-X OR stove))),5.6
126,((object-X OR object-X OR object-X OR object OR object-X) AND NOT scene),((book-X OR bookcase-X OR drawing-X OR videos OR book stand-X) AND NOT day care center-s),5.0
127,(((object-X OR object-X OR scene OR scene OR object-X OR scene OR scene OR scene) AND NOT scene) OR object-X),(((shelf-X OR apparel-X OR ball pit-s OR bookstore-s OR shirt-X OR kennel-indoor-s OR supermarket-s OR bank vault-s) AND NOT warehouse-indoor-s) OR videos-X),4.9
128,(object-X OR object-X OR scene OR object-X),(waterfall-X OR dam-X OR movie theater-indoor-s OR stage-X),4.0
129,(((((object-X OR object-X OR scene) AND NOT object-X) OR object OR scene OR scene OR object-X) AND NOT object-X) CLOSE object-X),(((((rock-X OR sand-X OR coast-s) AND NOT sky-X) OR windmill OR marsh-s OR field road-s OR rubbish-X) AND NOT sky-X) CLOSE sky-X),4.5
130,((object-X OR object-X OR object-X OR scene OR object OR scene OR scene OR object) AND NOT (scene OR scene)),((signboard-X OR trade name-X OR text-X OR booth-indoor-s OR washer OR movie theater-outdoor-s OR liquor store-outdoor-s OR bulletin board) AND NOT (ice cream parlor-s OR supermarket-s)),4.9
131,(((((object-X OR scene OR scene OR object) WITH (color-X OR part-X)) OR scene OR scene) AND NOT part) OR object-X),(((((sofa-X OR theater-indoor procenium-s OR auditorium-s OR bench) WITH (black-c-X OR seat cushion-X)) OR conference center-s OR theater-indoor procenium-s) AND NOT arm) OR controls-X),4.1
132,((object-X OR object-X OR scene OR object-X OR object-X OR object-X OR scene OR object) AND NOT scene),((waterfall-X OR court-X OR football field-s OR tennis court-X OR shirt-X OR lockers-X OR fitting room-exterior-s OR pitch) AND NOT river-s),4.3
133,((((object-X OR object-X OR object-X OR object-X) AND scene) OR object-X OR object) CLOSE TO ((object OR object-X) AND NOT object)),((((sink-X OR toilet-X OR bathtub-X OR countertop-X) AND bathroom-s) OR bidet-X OR bathtub) CLOSE TO ((wall OR curtain-X) AND NOT bathtub)),5.8
134,(((object-X OR scene OR scene OR object-X OR scene OR object) WITH (color-X OR color OR scene)) AND NOT object-X),(((flower-X OR ball pit-s OR field-cultivated-s OR inflatable bounce game-X OR field-wild-s OR plaything) WITH (green-c-X OR yellow-c OR ball pit-s)) AND NOT bed-X),3.4
135,((scene OR scene OR scene OR scene OR object OR scene OR object OR scene) AND NOT scene),((classroom-s OR lecture room-s OR conference center-s OR auditorium-s OR tent OR funeral chapel-s OR swivel chair OR beer garden-s) AND NOT computer room-s),4.6
136,(((object-X OR object-X OR object-X OR object-X OR object OR object-X OR object OR object) AND NOT scene) OR part),(((sink-X OR toilet-X OR water tower-X OR lighthouse-X OR tower OR control tower-X OR watchtower OR windmill) AND NOT donjon-s) OR lid),5.4
137,((scene OR scene OR scene OR scene OR object-X OR object-X OR object-X OR scene) CLOSE (color OR object-X)),((subway interior-s OR bus interior-s OR bank vault-s OR car interior-backseat-s OR oven-X OR instrument panel-X OR dashboard-X OR kennel-indoor-s) CLOSE (black-c OR seat-X)),4.5
138,(scene OR scene OR part-X OR scene OR scene OR scene OR scene OR scene OR scene),(doorway-outdoor-s OR doorway-indoor-s OR garage door-X OR bow window-outdoor-s OR elevator-door-s OR shopfront-s OR elevator-interior-s OR fire escape-s OR conference center-s),4.0
139,((((((object-X OR object-X) CLOSE TO object-X) OR scene OR scene) AND NOT scene) OR object OR object OR scene) WITH object-X),((((((field-X OR windmill-X) CLOSE TO sky-X) OR savanna-s OR corn field-s) AND NOT field-wild-s) OR vineyard OR animal OR barnyard-s) WITH sky-X),4.8
140,((((object OR scene OR object-X OR object-X OR scene OR scene) AND NOT object-X) OR object OR object-X) AND NOT object-X),((((skyscraper OR jail cell-s OR grill-X OR grille door-X OR archive-s OR jail-indoor-s) AND NOT building-X) OR videos OR folding door-X) AND NOT curtain-X),5.0
141,((scene CLOSE object) OR scene OR object OR scene OR object-X OR object-X OR scene),((conference room-s CLOSE table) OR gymnasium-indoor-s OR book OR witness stand-s OR swivel chair-X OR lockers-X OR courtroom-s),4.4
142,((object-X OR scene OR scene OR scene OR scene OR object OR object-X OR object-X OR scene) AND NOT object-X),((ruins-X OR fire escape-s OR slum-s OR ruin-s OR excavation-s OR controls OR rubbish-X OR rubble-X OR moat-dry-s) AND NOT road-X),4.1
143,(((scene OR scene OR object-X OR object-X OR scene OR scene) CLOSE object) OR object-X OR object-X OR object-X),(((parlor-s OR throne room-s OR altar-X OR altarpiece-X OR bedchamber-s OR apse-indoor-s) CLOSE wall) OR pulpit-X OR altarpiece-X OR chandelier-X),4.8
144,(scene OR scene OR scene OR scene OR object-X OR object-X OR object-X OR scene OR scene OR object-X),(locker room-s OR ice skating rink-indoor-s OR bullring-s OR carrousel-s OR ring-X OR minibike-X OR ice rink-X OR dugout-s OR boxing ring-s OR carousel-X),3.9
145,(((((scene OR scene OR scene OR scene OR scene) AND NOT object-X) OR object) AND NOT object) CLOSE (object OR object-X)),(((((reception-s OR dinette-vehicle-s OR home theater-s OR sauna-s OR galley-s) AND NOT ceiling-X) OR stage) AND NOT wall) CLOSE (wall OR ceiling-X)),5.0
146,((((scene OR scene) AND NOT object-X) OR scene OR scene OR object-X) AND NOT object),((((shoe shop-s OR art gallery-s) AND NOT ceiling-X) OR parking garage-indoor-s OR natural history museum-s OR ring-X) AND NOT box),4.0
147,((scene OR scene OR object-X OR object-X OR object OR object) CLOSE TO ((object OR object-X OR object-X) AND NOT object)),((lighthouse-s OR courthouse-s OR water tower-X OR watchtower-X OR tower OR bandstand) CLOSE TO ((sky OR grass-X OR water tower-X) AND NOT tower)),4.6
148,(object-X OR object-X OR scene OR object-X OR scene OR scene OR scene OR scene OR object-X OR scene),(case-X OR signboard-X OR fastfood restaurant-s OR trade name-X OR shopfront-s OR liquor store-outdoor-s OR kiosk-indoor-s OR convenience store-outdoor-s OR display window-X OR movie theater-outdoor-s),4.2
149,((((((object-X OR object-X) CLOSE object-X) OR scene OR scene) CLOSE TO color) OR scene OR object-X OR object) AND NOT scene),((((((mountain-X OR rock-X) CLOSE tree-X) OR viaduct-s OR boathouse-s) CLOSE TO green-c) OR rope bridge-s OR aqueduct-X OR waterfall) AND NOT creek-s),4.5
150,((((object-X OR object-X OR object-X OR object-X OR scene OR object-X) AND NOT object-X) OR scene) AND NOT color),((((plane-X OR aircraft carrier-X OR runway-X OR bandstand-X OR landing deck-s OR helicopter-X) AND NOT road-X) OR operating room-s) AND NOT purple-c),3.5
151,(scene OR object-X OR scene OR object-X OR scene OR scene OR object-X OR object-X OR object OR object-X),(shopping mall-indoor-s OR greenhouse-X OR atrium-public-s OR escalator-X OR natural history museum-s OR bank vault-s OR helicopter-X OR revolving door-X OR dome OR conveyer belt-X),3.8
152,(((((scene OR object-X OR scene OR part-X OR object-X) AND NOT scene) OR object-X) AND NOT (object OR object)) OR scene),(((((lighthouse-s OR ice-X OR snowfield-s OR garage door-X OR runway-X) AND NOT arrival gate-outdoor-s) OR iceberg-X) AND NOT (sand OR earth)) OR snowfield-s),3.7
153,((((((object-X CLOSE object-X) AND scene) OR object-X OR scene) AND NOT object-X) OR object-X) CLOSE TO (object AND NOT (object-X OR object))),((((((door-X CLOSE cabinet-X) AND kitchen-s) OR pool table-X OR closet-s) AND NOT wardrobe-X) OR dishwasher-X) CLOSE TO (wall AND NOT (pool table-X OR cabinet))),6.5
154,(((scene AND object) OR object OR scene OR object-X OR object-X OR object-X OR object-X) CLOSE TO (object-X OR scene)),(((mountain snowy-s AND mountain) OR greenhouse OR crevasse-s OR ice-X OR iceberg-X OR forest-X OR caravan-X) CLOSE TO (sky-X OR greenhouse-outdoor-s)),4.9
155,((object-X OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene) AND NOT scene),((case-X OR hayfield-s OR supermarket-s OR labyrinth-outdoor-s OR zen garden-s OR earth fissure-s OR candy store-s OR topiary garden-s OR convenience store-indoor-s) AND NOT shoe shop-s),4.7
156,((object-X CLOSE object-X) OR scene OR scene),((toilet-X CLOSE wall-X) OR cockpit-s OR sauna-s),4.5
157,((((object-X OR scene OR scene) CLOSE (color-X OR scene)) OR object-X OR object-X) WITH (object-X OR object-X OR object-X)),((((book-X OR classroom-s OR library-indoor-s) CLOSE (brown-c-X OR bookstore-s)) OR coffee table-X OR book-X) WITH (floor-X OR armchair-X OR box-X)),4.4
158,(((((((color AND scene AND object-X) OR scene) CLOSE TO object) AND color-X) AND NOT object-X) OR scene) CLOSE TO (object AND NOT color)),(((((((white-c AND street-s AND building-X) OR alley-s) CLOSE TO sky) AND white-c-X) AND NOT tree-X) OR flight of stairs-urban-s) CLOSE TO (building AND NOT white-c)),4.8
159,(scene OR scene OR scene OR part-X OR part-X OR object-X OR object-X OR object-X),(television studio-s OR cockpit-s OR music studio-s OR monitor-X OR fire escape-X OR television camera-X OR bicycle-X OR equipment-X),4.8
160,((object-X OR object-X OR scene OR scene OR scene OR object OR object-X OR scene OR scene) AND NOT object-X),((grandstand-X OR pitch-X OR batters box-s OR baseball field-s OR football field-s OR controls OR terraces-X OR bleachers-outdoor-s OR bullpen-s) AND NOT earth-X),3.8
161,(part-X OR scene OR scene OR object-X OR scene OR object-X OR object-X OR object-X OR object-X OR scene),(shop window-X OR supermarket-s OR convenience store-outdoor-s OR service station-X OR liquor store-outdoor-s OR gas station-X OR shop-X OR trade name-X OR stands-X OR general store-outdoor-s),4.9
162,((((object-X OR scene OR part-X OR object) AND NOT scene) OR object OR object OR object-X OR scene) AND NOT scene),((((cushion-X OR sandbox-s OR headboard-X OR pillow) AND NOT living room-s) OR fireplace OR sculpture OR microwave-X OR ball pit-s) AND NOT hotel room-s),4.2
163,(((scene CLOSE object-X) OR scene OR scene OR scene OR object-X OR scene) CLOSE TO ((object-X OR object-X) AND NOT object-X)),(((airport terminal-s CLOSE floor-X) OR cafeteria-s OR assembly line-s OR market-indoor-s OR stands-X OR call center-s) CLOSE TO ((wall-X OR ceiling-X) AND NOT floor-X)),4.7
164,((((object OR object-X OR scene) AND NOT (scene OR scene)) OR scene OR scene) AND NOT (object-X OR object-X)),((((sea OR aircraft carrier-X OR flight of stairs-natural-s) AND NOT (beach-s OR coast-s)) OR mountain path-s OR landing deck-s) AND NOT (sand-X OR rock-X)),4.3
165,(part-X OR object-X OR scene OR scene OR scene OR object OR part-X OR scene OR scene OR object-X),(garage door-X OR stage-X OR hangar-outdoor-s OR industrial park-s OR loading dock-s OR covered bridge OR metal shutter-X OR weighbridge-s OR throne room-s OR gate-X),5.2
166,((object-X CLOSE (object-X OR scene)) OR object-X OR scene OR scene OR scene OR scene),((person-X CLOSE (table-X OR sandbox-s)) OR sales booth-X OR volleyball court-outdoor-s OR labyrinth-outdoor-s OR amphitheater-s OR market-outdoor-s),3.4
167,((object-X OR object-X OR object-X OR object-X OR object-X) AND NOT scene),((railroad train-X OR railway-X OR tracks-X OR viaduct-X OR rubbish-X) AND NOT junkyard-s),3.9
168,(((((object CLOSE TO object-X) WITH color-X) CLOSE TO (object-X OR object)) OR object OR object-X OR object) WITH (object-X AND NOT object-X)),(((((building CLOSE TO road-X) WITH blue-c-X) CLOSE TO (sky-X OR windowpane)) OR truck OR water tower-X OR lighthouse) WITH (sky-X AND NOT building-X)),4.3
169,((scene OR scene OR object OR object OR object OR object OR object-X OR object) AND NOT (scene OR object-X)),((amphitheater-s OR greenhouse-indoor-s OR greenhouse OR labyrinth OR dome OR grandstand OR gravestone-X OR eiderdown) AND NOT (hotel room-s OR bed-X)),4.5
170,((((scene AND object-X) OR scene OR scene OR scene OR object-X OR object-X OR scene) AND NOT scene) OR object-X),((((highway-s AND road-X) OR bullring-s OR dirt track-s OR road cut-s OR track-X OR valley-X OR amphitheater-s) AND NOT valley-s) OR central reservation-X),4.7
171,(((((object-X CLOSE TO object) AND scene) AND NOT (object OR object-X)) CLOSE TO ((object AND NOT object-X) OR part OR object)) AND NOT object-X),(((((building-X CLOSE TO car) AND street-s) AND NOT (road OR sidewalk-X)) CLOSE TO ((road AND NOT building-X) OR windshield OR van)) AND NOT fence-X),5.3
172,((((object-X AND object-X AND scene) OR object OR object-X OR object-X) CLOSE TO (object AND NOT color)) WITH (object-X OR object-X)),((((road-X AND building-X AND street-s) OR autobus OR van-X OR autobus-X) CLOSE TO (road AND NOT black-c)) WITH (building-X OR sidewalk-X)),5.2
173,((((object-X OR scene OR scene OR scene OR scene) CLOSE (color-X OR object-X)) OR object-X OR object-X) AND NOT object),((((apparel-X OR cockpit-s OR closet-s OR clothing store-s OR booth-indoor-s) CLOSE (black-c-X OR shirt-X)) OR apparel-X OR jersey-X) AND NOT shelf),3.7
174,((((scene OR scene) CLOSE object) OR scene OR object-X OR object-X OR object-X OR scene OR scene) CLOSE TO object),((((conference room-s OR classroom-s) CLOSE table) OR gymnasium-indoor-s OR court-X OR ice rink-X OR bowling alley-X OR lecture room-s OR cafeteria-s) CLOSE TO wall),4.5
175,(object-X OR object-X OR scene OR object-X OR object OR object OR object OR scene),(tent-X OR escalator-X OR car interior-backseat-s OR bowling alley-X OR caravan OR dam OR instrument panel OR airplane cabin-s),3.8
176,(((((scene OR object-X OR scene OR scene OR scene) AND NOT object-X) OR object-X OR scene) CLOSE object-X) OR object-X),(((((castle-s OR acropolis-X OR temple-east asia-s OR moat-water-s OR donjon-s) AND NOT sky-X) OR ruins-X OR hoodoo-s) CLOSE sky-X) OR sculpture-X),4.2
177,(object-X OR object-X OR scene OR object-X OR scene OR object-X OR object-X OR scene OR scene OR scene),(grandstand-X OR animal-X OR sandbar-s OR cow-X OR runway-s OR controls-X OR plane-X OR corn field-s OR batters box-s OR watering hole-s),3.6
178,((((object-X OR scene OR scene OR scene) CLOSE object-X) OR object-X OR object-X OR object-X) CLOSE TO (object-X OR object)),((((railing-X OR plaza-s OR quadrangle-s OR cloister-outdoor-s) CLOSE building-X) OR dam-X OR railing-X OR bannister-X) CLOSE TO (sky-X OR tree)),4.4
179,(scene OR scene OR scene OR scene OR object-X OR object-X OR scene OR scene OR object-X OR scene),(cathedral-indoor-s OR throne room-s OR excavation-s OR church-indoor-s OR altar-X OR terraces-X OR apse-indoor-s OR junkyard-s OR altarpiece-X OR labyrinth-outdoor-s),4.5
180,((((object OR object-X) WITH object-X) OR object OR scene) WITH ((color-X OR object-X OR object-X OR object-X) AND NOT object-X)),((((plant OR flower-X) WITH wall-X) OR palm OR bayou-s) WITH ((brown-c-X OR palm-X OR windowpane-X OR flowerpot-X) AND NOT tree-X)),6.5
181,((((((scene AND object-X) OR object-X) CLOSE TO (object OR object-X OR object-X)) OR object-X OR object-X) WITH object-X) AND NOT object),((((((street-s AND tree-X) OR palm-X) CLOSE TO (road OR sidewalk-X OR path-X)) OR water tower-X OR rubble-X) WITH tree-X) AND NOT road),5.1
182,((((object-X CLOSE (object-X OR object-X)) OR object-X OR object-X OR scene OR object-X OR scene) AND NOT object) OR scene),((((person-X CLOSE (building-X OR sales booth-X)) OR animal-X OR cow-X OR market-outdoor-s OR horse-X OR market-indoor-s) AND NOT building) OR bazaar-outdoor-s),4.0
183,(((scene OR scene OR object-X OR scene OR scene) AND NOT (object-X OR object OR object)) CLOSE (object-X OR scene)),(((childs room-s OR playroom-s OR cradle-X OR kindergarden classroom-s OR day care center-s) AND NOT (wall-X OR windowpane OR curtain)) CLOSE (wall-X OR nursery-s)),5.1
184,((object-X CLOSE TO (scene OR scene OR scene)) OR object-X OR object-X),((chair-X CLOSE TO (dining room-s OR dinette-home-s OR kitchen-s)) OR horse-X OR cow-X),5.0
185,(((object-X OR scene) CLOSE TO color-X) OR object-X OR scene OR scene OR scene OR object-X OR object-X OR object),(((person-X OR water tower-s) CLOSE TO white-c-X) OR lighthouse-X OR fitting room-interior-s OR catwalk-s OR control tower-outdoor-s OR sculpture-X OR water tower-X OR elevator door),3.0
186,(scene OR scene OR scene OR scene OR object-X OR scene OR scene OR object OR object-X OR scene),(church-indoor-s OR cathedral-indoor-s OR temple-east asia-s OR throne room-s OR bandstand-X OR pagoda-s OR butte-s OR temple OR altar-X OR theater-indoor procenium-s),3.9
187,((object-X OR object-X OR object-X OR object-X OR scene OR scene OR object OR object-X) AND NOT object-X),((bench-X OR stairs-X OR altar-X OR stairway-X OR church-indoor-s OR throne room-s OR fountain OR sculpture-X) AND NOT pedestal-X),5.2
188,(((((color OR scene) AND object-X) OR object-X OR object-X OR scene OR scene) AND NOT color-X) OR object-X OR object),(((((red-c OR television studio-s) AND wall-X) OR inflatable bounce game-X OR telephone booth-X OR shopfront-s OR bedchamber-s) AND NOT orange-c-X) OR playground-X OR inflatable bounce game),3.5
189,(((scene AND NOT object-X) CLOSE (object-X OR object-X)) OR scene OR object-X),(((attic-s AND NOT ceiling-X) CLOSE (ceiling-X OR beam-X)) OR oast house-s OR windmill-X),5.6
190,((((object-X OR scene OR scene) CLOSE (color-X OR scene)) OR object-X OR object-X OR object OR object-X) AND NOT object),((((swimming pool-X OR jacuzzi-outdoor-s OR jacuzzi-indoor-s) CLOSE (blue-c-X OR swimming pool-outdoor-s)) OR fountain-X OR windmill-X OR bandstand OR pool-X) AND NOT sidewalk),4.3
191,((((((scene CLOSE object) OR scene OR scene) CLOSE TO object-X) OR object OR scene) CLOSE TO (color OR object)) OR scene),((((((living room-s CLOSE fireplace) OR bakery-shop-s OR arch-s) CLOSE TO wall-X) OR fireplace OR bakery-kitchen-s) CLOSE TO (brown-c OR armchair)) OR workshop-s),4.3
192,(((object-X OR object-X OR object-X OR object-X OR object OR object) AND NOT scene) OR object OR object),(((skyscraper-X OR lighthouse-X OR water tower-X OR control tower-X OR chimney OR tower) AND NOT downtown-s) OR skyscraper OR windmill),4.7
193,(object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR scene OR object-X OR object-X OR scene),(cradle-X OR pier-X OR aqueduct-X OR acropolis-X OR dam-X OR gravestone-X OR ruin-s OR footbridge-X OR lockers-X OR orchard-s),3.7
194,(object-X OR object-X OR object OR scene OR object-X OR object-X OR object-X OR scene OR object-X OR object-X),(carousel-X OR rubbish-X OR barrel OR carrousel-s OR roller coaster-X OR cannon-X OR steam shovel-X OR junkyard-s OR rubble-X OR labyrinth-X),3.4
195,(((object-X OR object OR object) AND NOT part-X) OR object-X OR scene OR object-X),(((cradle-X OR railing OR hovel) AND NOT roof-X) OR grill-X OR shed-s OR shed-X),4.4
196,(scene OR object-X OR object-X OR object OR scene OR object OR scene OR object OR object OR scene),(gazebo-exterior-s OR cradle-X OR greenhouse-X OR tent OR shed-s OR henhouse OR cabana-s OR dome OR bandstand OR boathouse-s),5.0
197,((((object-X OR scene OR scene) CLOSE TO (object OR object)) AND NOT object-X) WITH ((object-X OR scene) AND NOT (object-X OR color-X))),((((pool table-X OR parking garage-indoor-s OR bowling alley-s) CLOSE TO (wall OR ceiling)) AND NOT floor-X) WITH ((floor-X OR poolroom-home-s) AND NOT (pool table-X OR red-c-X))),5.2
198,(scene OR object-X OR object-X OR scene OR object-X OR object-X OR object-X OR object-X OR part OR scene),(fire escape-s OR bridge-X OR roller coaster-X OR staircase-s OR crane-X OR trestle-X OR windmill-X OR scaffolding-X OR fire escape OR rope bridge-s),4.3
199,((object-X AND object-X) OR scene OR object-X OR scene OR scene OR part-X OR scene OR scene OR scene),((bed-X AND wall-X) OR castle-s OR lighthouse-X OR dolmen-s OR ruin-s OR headboard-X OR donjon-s OR islet-s OR moat-water-s),5.5
200,((((scene CLOSE object-X) OR scene) CLOSE TO object-X) OR scene OR scene OR object-X OR object-X),((((corridor-s CLOSE floor-X) OR supermarket-s) CLOSE TO ceiling-X) OR martial arts gym-s OR clean room-s OR ball-X OR stands-X),3.7
201,((((((object-X OR object-X) CLOSE TO (object-X OR part-X)) WITH object) CLOSE object) OR object) CLOSE TO ((object-X OR object-X) AND NOT object)),((((((tree-X OR fountain-X) CLOSE TO (sidewalk-X OR crosswalk-X)) WITH building) CLOSE building) OR altar) CLOSE TO ((sidewalk-X OR road-X) AND NOT tree)),4.7
202,((((scene OR scene OR scene OR object-X) AND NOT object-X) OR scene) AND NOT object-X),((((cockpit-s OR airplane cabin-s OR theater-indoor procenium-s OR mezzanine-X) AND NOT stairs-X) OR throne room-s) AND NOT table-X),4.1
203,((((object-X OR scene) CLOSE (object OR object-X)) OR object OR part-X OR scene OR scene) AND NOT (object-X OR object)),((((stairway-X OR staircase-s) CLOSE (stairway OR railing-X)) OR escalator OR fire escape-X OR rope bridge-s OR flight of stairs-natural-s) AND NOT (bridge-X OR seat)),5.7
204,((scene OR object-X OR scene OR object) CLOSE (((object-X OR object-X OR scene) AND NOT object) OR scene OR scene)),((forest path-s OR path-X OR flight of stairs-natural-s OR dirt track) CLOSE (((tree-X OR field-X OR mountain path-s) AND NOT tree) OR forest-broadleaf-s OR field-wild-s)),4.7
205,(((object-X OR scene OR scene OR scene OR scene OR scene OR scene OR object-X) AND NOT scene) OR object-X),(((case-X OR supermarket-s OR toyshop-s OR candy store-s OR bazaar-indoor-s OR butchers shop-s OR delicatessen-s OR sales booth-X) AND NOT market-outdoor-s) OR stands-X),3.9
206,(scene OR scene OR scene OR object OR scene OR scene OR object-X OR scene OR scene OR object),(mosque-outdoor-s OR cloister-indoor-s OR cathedral-indoor-s OR washer OR apse-indoor-s OR church-outdoor-s OR bandstand-X OR mausoleum-s OR cathedral-outdoor-s OR mosque),4.6
207,(((scene OR part-X OR object OR scene OR scene OR object) AND NOT (scene OR object)) OR object),(((archive-s OR balcony-X OR bookcase OR videostore-s OR parking garage-outdoor-s OR book) AND NOT (building facade-s OR pedestal)) OR pantry),5.6
208,((((object CLOSE TO (color-X OR object-X OR scene)) OR scene OR scene OR scene) CLOSE TO object) OR object OR object-X),((((person CLOSE TO (white-c-X OR tree-X OR martial arts gym-s)) OR batters box-s OR dugout-s OR clean room-s) CLOSE TO person) OR truck OR stretcher-X),4.1
209,((((scene OR scene OR scene OR scene OR scene) CLOSE TO object & object) OR scene) CLOSE TO (object-X AND NOT object)),((((airport terminal-s OR art gallery-s OR lobby-s OR artists loft-s OR ballroom-s) CLOSE TO floor & wall) OR elevator lobby-s) CLOSE TO (floor-X AND NOT floor)),6.2
