neuron,category,formula,threshold
110,((((object-X OR scene OR scene) CLOSE TO (color-X OR scene OR object)) OR object) CLOSE TO (color-X OR object-X OR object)),((((person-X OR greenhouse-indoor-s OR vegetable garden-s) CLOSE TO (green-c-X OR archaelogical excavation-s OR box)) OR manhole) CLOSE TO (black-c-X OR floor-X OR earth)),3.8
111,((object-X AND color-X) OR object OR object-X OR object OR part-X OR object OR part-X OR object OR object-X),((field-X AND green-c-X) OR autobus OR terraces-X OR truck OR garage door-X OR valley OR metal shutter-X OR gate OR ring-X),3.9
112,((object-X OR part-X) CLOSE TO ((((((object-X OR scene) AND NOT object) OR scene) AND NOT object-X) OR scene) AND NOT (object-X OR color-X))),((table-X OR back-X) CLOSE TO ((((((chair-X OR conference room-s) AND NOT chair) OR dining room-s) AND NOT chair-X) OR dinette-home-s) AND NOT (table-X OR black-c-X))),8.0
113,((object-X OR object-X OR object OR object-X OR object-X OR object OR object OR object OR object) AND NOT scene),((escalator-X OR bowling alley-X OR temple OR viaduct-X OR tunnel-X OR aqueduct OR bridge OR dam OR mosque) AND NOT airport terminal-s),3.9
114,((object-X OR object-X OR object-X) AND NOT (object-X OR object)),((plane-X OR helicopter-X OR computer-X) AND NOT (chair-X OR swivel chair)),4.9
115,((object-X AND NOT object) OR object OR object-X OR object-X OR object OR object-X OR object OR object OR scene),((earth-X AND NOT earth) OR aquarium OR water wheel-X OR straw-X OR caravan OR fish-X OR animal OR tent OR junkyard-s),3.5
116,((((((object-X OR object-X) CLOSE object-X) AND object-X) OR object-X OR scene OR scene) CLOSE TO (object-X AND NOT color-X)) OR object-X),((((((palm-X OR grass-X) CLOSE sky-X) AND tree-X) OR palm-X OR bayou-s OR flood-s) CLOSE TO (sky-X AND NOT green-c-X)) OR roundabout-X),4.4
117,(((((((object-X CLOSE TO (scene OR scene)) OR part) AND object-X) OR object-X) AND NOT color) OR part OR object) AND NOT object-X),(((((((wall-X CLOSE TO (airplane cabin-s OR attic-s)) OR headboard) AND wall-X) OR smoke-X) AND NOT yellow-c) OR shade OR waterfall) AND NOT mirror-X),4.3
118,((((object-X OR scene OR object-X OR object OR scene OR scene) AND NOT object) OR object) CLOSE TO (object AND NOT object)),((((skyscraper-X OR oast house-s OR decoration-X OR carousel OR freeway-s OR downtown-s) AND NOT sky) OR skyscraper) CLOSE TO (sky AND NOT skyscraper)),4.4
119,((object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object OR object) AND NOT object),((sidewalk-X OR pier-X OR railway-X OR platform-X OR deck-X OR footbridge-X OR tracks-X OR railroad train OR lighthouse) AND NOT stairs),4.9
120,(object-X OR object-X OR object-X OR object-X OR object OR object OR object OR object-X OR object OR part-X),(water tower-X OR telephone booth-X OR watchtower-X OR bandstand-X OR box office OR caravan OR controls OR pulpit-X OR tower OR lid-X),4.2
121,(((((object AND color-X) OR scene OR scene) AND NOT color-X) OR scene) CLOSE ((object AND NOT color) OR object-X OR object)),(((((tree AND grey-c-X) OR park-s OR campus-s) AND NOT black-c-X) OR formal garden-s) CLOSE ((building AND NOT green-c) OR playground-X OR covered bridge)),5.1
122,(((object OR scene) AND color) OR object OR scene OR object OR object-X OR object-X OR object-X OR object-X),(((earth OR desert-sand-s) AND grey-c) OR labyrinth OR zen garden-s OR temple OR desert-X OR gravel-X OR hay-X OR straw-X),4.8
123,((((object-X OR object-X) CLOSE (object-X OR object-X)) OR object-X OR object-X OR object-X OR object-X) AND NOT (object-X OR object)),((((signboard-X OR service station-X) CLOSE (sky-X OR tree-X)) OR gas station-X OR water tower-X OR gas pump-X OR toll booth-X) AND NOT (text-X OR bridge)),4.3
124,((((object-X AND scene) CLOSE object-X) OR object-X OR object-X OR object OR object-X) CLOSE TO (object-X OR object OR object)),((((table-X AND dining room-s) CLOSE wall-X) OR countertop-X OR sink-X OR flower OR work surface-X) CLOSE TO (chair-X OR mirror OR kitchen island)),6.4
125,((((object-X OR object OR object-X) CLOSE ((object-X AND NOT object) OR object-X)) OR object OR object OR part) AND NOT object),((((stove-X OR work surface OR dishwasher-X) CLOSE ((cabinet-X AND NOT cabinet) OR sink-X)) OR bottle OR stove OR lid) AND NOT bar),5.6
126,(((object-X OR object OR object OR object OR object-X OR object OR object OR object-X) AND NOT object) OR object),(((book-X OR bookcase OR videos OR drawing OR notebook-X OR telephone booth OR book stand OR magazine-X) AND NOT table) OR book),5.0
127,(object-X OR object-X OR object-X OR object-X OR object-X OR object OR object OR object OR object),(shelf-X OR apparel-X OR shirt-X OR ball-X OR book-X OR videos OR jacket OR file cabinet OR pantry),4.9
128,((((((object OR object-X OR object-X OR object OR part-X) AND NOT object) OR part) AND NOT object) OR object) AND NOT object),((((((waterfall OR dam-X OR stage-X OR pillow OR garage door-X) AND NOT bed) OR back pillow) AND NOT seat) OR stage) AND NOT car),4.0
129,((object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object-X) CLOSE TO ((object-X AND NOT object-X) OR scene)),((rock-X OR sand-X OR windmill-X OR cliff-X OR rubbish-X OR steam shovel-X OR trench-X) CLOSE TO ((sky-X AND NOT sand-X) OR dolmen-s)),4.5
130,(object-X OR object-X OR object-X OR object-X OR object OR object-X OR object),(signboard-X OR trade name-X OR text-X OR billboard-X OR washer OR ad-X OR bulletin board),4.9
131,(((((object-X OR object OR object-X) AND NOT (scene OR part-X)) WITH (color-X OR part-X OR scene)) AND NOT object-X) OR part-X),(((((sofa-X OR bench OR seat-X) AND NOT (cockpit-s OR arm-X)) WITH (black-c-X OR back pillow-X OR theater-indoor procenium-s)) AND NOT person-X) OR back pillow-X),4.1
132,(((object-X OR object OR object-X OR object-X OR object OR part OR object OR object) AND NOT object-X) OR object),(((court-X OR waterfall OR shirt-X OR tennis court-X OR lockers OR wave OR pitch OR apparel) AND NOT grass-X) OR waterfall),4.3
133,(((((object-X OR object-X OR object-X) AND scene) OR object-X OR object-X) AND scene) OR object),(((((sink-X OR toilet-X OR countertop-X) AND bathroom-s) OR bathtub-X OR bidet-X) AND bathroom-s) OR bathtub),5.8
134,(((((object-X OR object-X OR object) AND NOT object) OR object-X OR object OR object) AND NOT object) OR object OR object),(((((flower-X OR ball-X OR inflatable bounce game) AND NOT person) OR plaything-X OR telephone booth OR umbrella) AND NOT field) OR flower OR ball),3.4
135,(((((object-X OR object-X OR object OR scene OR object) WITH color-X) OR scene OR scene) CLOSE TO object-X) OR object),(((((tent-X OR swivel chair-X OR seat OR lecture room-s OR bench) WITH black-c-X) OR conference center-s OR classroom-s) CLOSE TO floor-X) OR tent),4.6
136,((((object-X OR object-X OR object-X OR object-X OR object OR object-X OR object) AND NOT object-X) OR object) AND NOT object),((((sink-X OR toilet-X OR water tower-X OR lighthouse-X OR tower OR control tower-X OR watchtower) AND NOT building-X) OR windmill) AND NOT bowl),5.4
137,(((object AND color-X AND color-X) OR object-X OR object OR object-X OR object OR scene OR scene) CLOSE TO color),(((building AND black-c-X AND grey-c-X) OR oven-X OR instrument panel OR steering wheel-X OR stove OR bank vault-s OR kennel-indoor-s) CLOSE TO black-c),4.5
138,(((part-X OR scene OR object OR part-X OR object-X OR object-X OR scene) AND NOT object) OR object OR part-X),(((garage door-X OR doorway-outdoor-s OR blind OR metal shutter-X OR elevator door-X OR stage-X OR doorway-indoor-s) AND NOT wall) OR shutter OR lower sash-X),4.0
139,(((((object-X OR object-X) AND NOT scene) OR object OR scene OR object OR object-X OR object) AND NOT object-X) OR object),(((((field-X OR windmill-X) AND NOT field-wild-s) OR vineyard OR savanna-s OR animal OR cow-X OR horse) AND NOT hill-X) OR vineyard),4.8
140,(((object OR object-X OR object-X OR object-X OR object) AND NOT object) OR object OR object OR scene OR object),(((skyscraper OR grill-X OR grille door-X OR folding screen-X OR folding door) AND NOT building) OR videos OR cradle OR jail cell-s OR lockers),5.0
141,(((object-X AND scene) OR object-X OR object OR object-X OR object OR part-X OR object) AND NOT (object-X OR object-X)),(((table-X AND conference room-s) OR swivel chair-X OR book OR machine-X OR lockers OR monitor-X OR computer) AND NOT (pedestal-X OR shelf-X)),4.4
142,(object OR part-X OR object OR object-X OR object-X OR object-X OR object OR object OR object OR object-X),(ruins OR fire escape-X OR controls OR rubbish-X OR shanties-X OR excavator-X OR tower OR railway OR instrument panel OR rubble-X),4.1
143,(((((object-X OR object-X OR object-X OR object) AND NOT object-X) OR object-X) CLOSE object-X) OR object-X OR object OR object-X),(((((fireplace-X OR altar-X OR chandelier-X OR altarpiece) AND NOT fireplace-X) OR canopy-X) CLOSE wall-X) OR pulpit-X OR fireplace OR clock-X),4.8
144,((object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR part OR object) AND NOT (part-X OR part-X)),((ice rink-X OR lockers-X OR minibike-X OR bullring-X OR ring-X OR carousel-X OR wheel OR cradle) AND NOT (footboard-X OR headboard-X)),3.9
145,((((((object-X AND scene) OR object-X OR object OR scene) AND NOT object) CLOSE (object OR object-X)) OR object-X) AND NOT part-X),((((((counter-X AND reception-s) OR silver screen-X OR stage OR dinette-vehicle-s) AND NOT wall) CLOSE (wall OR painting-X)) OR telephone booth-X) AND NOT seat cushion-X),5.0
146,((object-X OR object-X OR object-X) CLOSE TO ((((scene OR scene OR scene) AND NOT object-X) OR object-X) AND NOT (object-X OR object-X))),((wall-X OR shelf-X OR ceiling-X) CLOSE TO ((((shoe shop-s OR parking garage-indoor-s OR art gallery-s) AND NOT wall-X) OR ring-X) AND NOT (ceiling-X OR painting-X))),4.0
147,((((scene CLOSE object) OR object-X OR object-X OR object OR object) CLOSE TO object-X) OR object-X OR object OR object-X),((((lighthouse-s CLOSE lighthouse) OR water tower-X OR watchtower-X OR tower OR bandstand) CLOSE TO sky-X) OR control tower-X OR windmill OR water tower-X),4.6
148,(object-X OR object-X OR object-X OR part-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object),(signboard-X OR case-X OR trade name-X OR shop window-X OR text-X OR billboard-X OR ad-X OR display window-X OR bulletin board-X OR awning),4.2
149,(((((object OR object) CLOSE color-X) OR object-X) WITH object-X) OR object-X OR object-X OR object-X OR object OR scene),(((((mountain OR hill) CLOSE green-c-X) OR waterfall-X) WITH tree-X) OR aqueduct-X OR viaduct-X OR forest-X OR dam OR boathouse-s),4.5
150,(((object-X OR object-X OR object-X OR object-X OR object) AND NOT (object-X OR object-X)) OR object-X),(((plane-X OR aircraft carrier-X OR bandstand-X OR helicopter-X OR shelter) AND NOT (stairway-X OR road-X)) OR helicopter-X),3.5
151,(object OR object-X OR object-X OR object OR object-X OR object-X OR object-X OR object-X OR scene OR object-X),(greenhouse OR escalator-X OR helicopter-X OR dome OR skeleton-X OR plane-X OR conveyer belt-X OR roller coaster-X OR shopping mall-indoor-s OR sculpture-X),3.8
152,(((object-X OR object-X OR part-X OR object OR object-X OR object-X OR object) AND NOT (object OR object)) OR object-X),(((lighthouse-X OR ice-X OR garage door-X OR sink OR catwalk-X OR runway-X OR iceberg) AND NOT (earth OR road)) OR semidesert ground-X),3.7
153,(((((object-X OR object-X OR object-X) CLOSE TO (object-X OR object-X OR scene)) OR part) CLOSE TO (object-X AND NOT object-X)) OR part),(((((cabinet-X OR door-X OR pool table-X) CLOSE TO (oven-X OR dishwasher-X OR poolroom-home-s)) OR garage door) CLOSE TO (wall-X AND NOT pool table-X)) OR garage door),6.5
154,(((((object AND color-X) OR object-X) CLOSE TO object-X) OR object OR object) AND NOT (scene OR object)),(((((mountain AND blue-c-X) OR ice-X) CLOSE TO sky-X) OR greenhouse OR iceberg) AND NOT (greenhouse-indoor-s OR building)),4.9
155,(object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR scene OR object-X OR object),(case-X OR labyrinth-X OR hay-X OR trench-X OR stands-X OR fruit-X OR shirt-X OR zen garden-s OR bag-X OR apparel),4.7
156,(((object-X OR object-X OR object-X OR object OR object-X) AND NOT object) OR object-X),(((toilet-X OR controls-X OR instrument panel-X OR sink OR mattress-X) AND NOT seat) OR bowl-X),4.5
157,((object-X OR object-X OR object-X OR object-X OR object OR object OR part) AND NOT (material OR object OR object-X)),((book-X OR coffee table-X OR document-X OR workbench-X OR bookcase OR book stand OR top) AND NOT (carpet OR case OR box-X)),4.4
158,((((((color AND object-X AND scene) AND NOT object-X) OR scene) CLOSE TO object) AND color-X) CLOSE TO (object AND NOT (color-X OR object-X))),((((((white-c AND building-X AND street-s) AND NOT tree-X) OR alley-s) CLOSE TO sky) AND white-c-X) CLOSE TO (building AND NOT (white-c-X OR tree-X))),4.8
159,((object-X OR object-X OR object-X OR part-X OR object-X OR object OR object-X OR object-X OR object) AND NOT object-X),((computer-X OR television camera-X OR controls-X OR fire escape-X OR bicycle-X OR instrument panel OR synthesizer-X OR equipment-X OR windmill) AND NOT swivel chair-X),4.8
160,((((object-X OR object-X OR object OR scene) AND NOT scene) OR object-X OR object OR object OR scene) AND NOT object),((((grandstand-X OR pitch-X OR controls OR batters box-s) AND NOT bleachers-outdoor-s) OR terraces-X OR instrument panel OR labyrinth OR football field-s) AND NOT seat),3.8
161,(((part-X OR object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR scene) AND NOT scene) OR object-X),(((shop window-X OR service station-X OR stands-X OR gas station-X OR trade name-X OR shop-X OR exhibitor-X OR convenience store-outdoor-s) AND NOT general store-outdoor-s) OR text-X),4.9
162,((object-X OR part-X OR object OR object OR object-X OR object-X OR object OR object-X) AND NOT (object OR scene)),((cushion-X OR headboard-X OR pillow OR fireplace OR sandbox-X OR microwave-X OR sculpture OR altar-X) AND NOT (sofa OR ball pit-s)),4.2
163,(((((scene OR object OR scene) AND NOT (object-X OR object)) OR scene OR scene) CLOSE (object-X OR scene)) OR object-X),(((((airport terminal-s OR person OR market-indoor-s) AND NOT (ceiling-X OR wall)) OR assembly line-s OR call center-s) CLOSE (ceiling-X OR cafeteria-s)) OR fruit-X),4.7
164,((((object OR object-X OR object-X) CLOSE object) OR object) AND NOT (object OR object-X OR object-X OR object-X OR object-X)),((((sea OR aircraft carrier-X OR railing-X) CLOSE sea) OR pillow) AND NOT (mountain OR land-X OR bush-X OR sand-X OR hill-X)),4.3
165,(((object WITH color-X) OR part OR part-X OR object-X OR object OR part-X OR object OR object) AND NOT object),(((curtain WITH black-c-X) OR garage door OR metal shutter-X OR gate-X OR covered bridge OR entrance-X OR stage OR truck) AND NOT windowpane),5.2
166,(((object-X OR object) CLOSE (((object-X OR scene OR object-X) AND NOT object-X) OR object OR material-X OR scene)) OR object-X),(((person-X OR rock) CLOSE (((table-X OR sandbox-s OR sales booth-X) AND NOT person-X) OR sea OR food-X OR amphitheater-s)) OR labyrinth-X),3.4
167,(((object-X OR object-X OR object-X OR object-X OR object-X OR object) AND NOT object) OR object),(((railroad train-X OR railway-X OR tracks-X OR viaduct-X OR steam shovel-X OR aqueduct) AND NOT field) OR viaduct),3.9
168,(object OR object OR object OR object-X OR object OR part-X OR part-X OR object-X OR scene),(car OR truck OR lighthouse OR water tower-X OR caravan OR garage door-X OR metal shutter-X OR dog-X OR hangar-outdoor-s),4.3
169,((object OR object OR object OR object OR object-X OR object OR object OR object) AND NOT object-X),((greenhouse OR grandstand OR labyrinth OR dome OR pillow-X OR gravestone OR eiderdown OR chimney) AND NOT field-X),4.5
170,(((((object-X AND scene) OR object-X) AND color-X) OR object-X OR object-X OR object OR scene OR object-X) AND NOT object),(((((road-X AND highway-s) OR grandstand-X) AND grey-c-X) OR central reservation-X OR bullring-X OR ring OR dirt track-s OR valley-X) AND NOT hill),4.7
171,((((object CLOSE object) AND scene AND object-X) CLOSE TO ((object-X AND NOT (object-X OR object)) OR part OR object-X)) AND NOT object-X),((((building CLOSE car) AND street-s AND building-X) CLOSE TO ((road-X AND NOT (building-X OR car)) OR windshield OR van-X)) AND NOT fence-X),5.3
172,((((((((object-X AND NOT object) AND scene) OR object) AND NOT object-X) OR part-X) AND NOT scene) OR object) CLOSE TO (object AND NOT object-X)),((((((((road-X AND NOT road) AND street-s) OR autobus) AND NOT sidewalk-X) OR crosswalk-X) AND NOT crosswalk-s) OR van) CLOSE TO (building AND NOT road-X)),5.2
173,((object-X OR object-X OR object OR object-X OR object-X OR object-X OR object) AND NOT (object OR object-X)),((apparel-X OR shirt-X OR jacket OR controls-X OR jersey-X OR trouser-X OR instrument panel) AND NOT (shelf OR sales booth-X)),3.7
174,(((object-X CLOSE TO (scene OR scene)) OR object-X OR object-X OR object-X OR object-X) CLOSE TO (object-X AND NOT (object-X OR object-X))),(((table-X CLOSE TO (conference room-s OR classroom-s)) OR ice rink-X OR court-X OR bowling alley-X OR tennis court-X) CLOSE TO (wall-X AND NOT (table-X OR court-X))),4.5
175,(object-X OR object-X OR object OR object OR object OR scene),(tent-X OR escalator-X OR caravan OR bowling alley OR dam OR car interior-backseat-s),3.8
176,(((object-X CLOSE TO (scene OR scene)) OR part-X OR object OR object-X OR object OR object OR object) AND NOT object-X),(((building-X CLOSE TO (castle-s OR moat-water-s)) OR column-X OR temple OR acropolis-X OR ruins OR sculpture OR tower) AND NOT table-X),4.2
177,(object-X OR object-X OR object-X OR object-X OR object-X OR object-X OR part-X OR object-X OR object-X OR scene),(grandstand-X OR animal-X OR bridge-X OR cow-X OR plane-X OR controls-X OR garage door-X OR gate-X OR horse-X OR sandbar-s),3.6
178,(((object-X CLOSE object) OR object-X OR object-X OR object-X OR object-X OR object-X OR scene) CLOSE TO (object-X OR object)),(((railing-X CLOSE building) OR aqueduct-X OR dam-X OR bannister-X OR railing-X OR net-X OR quadrangle-s) CLOSE TO (sky-X OR tree)),4.4
179,((object-X CLOSE TO (object-X OR object-X)) OR object-X OR scene OR object-X OR object-X OR object-X OR object-X OR object-X),((wall-X CLOSE TO (bench-X OR altar-X)) OR excavator-X OR throne room-s OR altarpiece-X OR bulldozer-X OR terraces-X OR skeleton-X OR altar-X),4.5
180,(((((((object OR object) WITH object-X) OR object) AND NOT (scene OR object-X OR scene)) OR object) AND NOT object-X) OR object),(((((((plant OR flower) WITH wall-X) OR palm) AND NOT (greenhouse-indoor-s OR tree-X OR florist shop-indoor-s)) OR vegetables) AND NOT house-X) OR palm),6.5
181,((((((object OR object-X) CLOSE TO object-X) AND scene) CLOSE TO (object-X OR color)) OR object-X) CLOSE TO ((color-X OR color-X) AND NOT object)),((((((building OR tree-X) CLOSE TO car-X) AND street-s) CLOSE TO (sky-X OR green-c)) OR water tower-X) CLOSE TO ((grey-c-X OR white-c-X) AND NOT building)),5.1
182,((object-X CLOSE TO object) OR object OR object-X OR object-X OR object-X OR object OR object OR object-X OR object-X),((person-X CLOSE TO building) OR animal OR cow-X OR horse-X OR fruit-X OR apparel OR elephant OR vegetables-X OR umbrella-X),4.0
183,(((object-X OR object-X OR scene) AND NOT (object OR color-X)) CLOSE (object-X OR scene OR scene OR scene OR part)),(((cradle-X OR plaything-X OR kindergarden classroom-s) AND NOT (wall OR pink-c-X)) CLOSE (wall-X OR playroom-s OR childs room-s OR day care center-s OR drawer)),5.1
184,(((object-X OR object) CLOSE TO (scene OR scene)) OR object-X OR object OR object),(((chair-X OR table) CLOSE TO (dining room-s OR dinette-home-s)) OR horse-X OR washing machines OR cow),5.0
185,(((object-X OR object OR object-X OR object-X OR object OR object OR object OR object-X) AND NOT object) OR scene),(((lighthouse-X OR person OR water tower-X OR control tower-X OR sculpture OR iceberg OR elevator door OR dog-X) AND NOT person) OR catwalk-s),3.0
186,(((object-X OR object OR object-X OR object-X OR object-X OR scene OR part-X OR object-X) AND NOT object) OR object-X),(((bench-X OR temple OR bandstand-X OR altar-X OR altarpiece-X OR throne room-s OR shaft-X OR stage-X) AND NOT stage) OR pulpit-X),3.9
187,((object-X OR object-X OR object-X OR object-X OR object OR object OR object) AND NOT scene),((bench-X OR stairs-X OR altar-X OR stairway-X OR bandstand OR pulpit OR fountain) AND NOT amphitheater-s),5.2
188,((((((color OR object) AND NOT color-X) OR object OR object-X) AND NOT color) OR object OR object-X) AND NOT (color-X OR object-X)),((((((red-c OR telephone booth) AND NOT orange-c-X) OR inflatable bounce game OR playground-X) AND NOT pink-c) OR lighthouse OR trade name-X) AND NOT (purple-c-X OR bookcase-X)),3.5
189,(((scene AND object-X) CLOSE TO object) OR object-X),(((attic-s AND wall-X) CLOSE TO ceiling) OR windmill-X),5.6
190,(object-X OR object-X OR object-X OR object-X OR object OR object-X OR object),(swimming pool-X OR fountain-X OR hot tub-X OR windmill-X OR bandstand OR pool-X OR temple),4.3
191,(((scene CLOSE TO object-X) OR object-X OR object-X) CLOSE TO ((((object-X OR scene OR material) AND NOT object-X) OR part) AND NOT object-X)),(((living room-s CLOSE TO fireplace-X) OR case-X OR fireplace-X) CLOSE TO ((((floor-X OR bakery-shop-s OR carpet) AND NOT case-X) OR seat cushion) AND NOT fireplace-X)),4.3
192,((object OR object-X OR object-X OR object OR object-X OR object-X) CLOSE TO ((object-X OR object OR object-X) AND NOT object-X)),((skyscraper OR lighthouse-X OR water tower-X OR tower OR chimney-X OR control tower-X) CLOSE TO ((sky-X OR building OR water tower-X) AND NOT tower-X)),4.7
193,(object-X OR object-X OR object OR object-X OR object OR object OR object-X OR object-X),(cradle-X OR pier-X OR aqueduct OR acropolis-X OR dam OR lockers OR gravestone-X OR footbridge-X),3.7
194,(object-X OR object OR object-X OR object-X OR object-X OR object-X OR object OR object OR object OR object),(carousel-X OR barrel OR rubbish-X OR steam shovel-X OR roller coaster-X OR cannon-X OR dam OR labyrinth OR bell OR barrels),3.4
195,((object OR object OR object OR object OR object OR object OR object-X OR object-X) AND NOT (part-X OR object-X)),((hovel OR cradle OR railing OR grill OR water tower OR covered bridge OR organ-X OR watchtower-X) AND NOT (roof-X OR stairway-X)),4.4
196,(object-X OR object OR object OR object OR object OR object OR object OR object OR object OR object),(cradle-X OR tent OR greenhouse OR bandstand OR henhouse OR dome OR shed OR hovel OR caravan OR big top),5.0
197,((object-X OR scene OR scene OR object) CLOSE TO ((object OR object) AND NOT (object OR object-X OR object-X OR object))),((pool table-X OR parking garage-indoor-s OR bowling alley-s OR table tennis) CLOSE TO ((wall OR ceiling) AND NOT (pool table OR car-X OR pillar-X OR bowling alley))),5.2
198,((part-X OR object OR object-X OR object-X OR object OR object-X OR object-X OR object OR object-X) AND NOT object),((fire escape-X OR bridge OR roller coaster-X OR crane-X OR trestle OR windmill-X OR scaffolding-X OR stairway OR tower-X) AND NOT tower),4.3
199,((((object-X AND object-X) OR object-X OR part-X OR object OR object-X OR object OR object) AND NOT object-X) OR object-X),((((bed-X AND wall-X) OR lighthouse-X OR headboard-X OR pillow OR water tower-X OR ruins OR tower) AND NOT building-X) OR lighthouse-X),5.5
200,(((((scene OR scene) CLOSE object-X) OR object-X OR scene) CLOSE TO ((object-X OR object) AND NOT object-X)) OR object-X OR object-X),(((((corridor-s OR martial arts gym-s) CLOSE floor-X) OR computer-X OR supermarket-s) CLOSE TO ((wall-X OR stands) AND NOT floor-X)) OR dog-X OR ball-X),3.7
201,((((object-X CLOSE TO (scene AND NOT object-X)) AND object-X) OR object-X) AND NOT scene),((((tree-X CLOSE TO (street-s AND NOT tree-X)) AND building-X) OR altar-X) AND NOT cathedral-indoor-s),4.7
202,((((object-X OR object-X) AND NOT object) OR object-X OR object-X OR object-X OR object-X) AND NOT (object-X OR scene OR object-X)),((((seat-X OR controls-X) AND NOT seat) OR instrument panel-X OR altar-X OR mezzanine-X OR stage-X) AND NOT (stairs-X OR dining room-s OR swivel chair-X)),4.1
203,((object-X OR object OR object OR part-X) AND NOT (object-X OR object-X)),((stairway-X OR escalator OR stairs OR fire escape-X) AND NOT (path-X OR bridge-X)),5.7
204,((((object-X OR object-X OR scene) AND NOT object-X) OR object) CLOSE ((object-X OR object-X OR scene OR scene) AND NOT object)),((((path-X OR dirt track-X OR flight of stairs-natural-s) AND NOT tree-X) OR path) CLOSE ((tree-X OR field-X OR mountain path-s OR forest path-s) AND NOT path)),4.7
205,(object-X OR object OR object-X OR object-X OR object-X OR object-X OR object-X OR object OR object OR object-X),(case-X OR shelf OR sales booth-X OR stands-X OR village-X OR magazine-X OR display window-X OR terraces OR grandstand OR exhibitor-X),3.9
206,(object OR object-X OR object-X OR object OR object-X OR object OR object OR object OR object OR object),(washer OR vault-X OR mosque-X OR dome OR bandstand-X OR washing machines OR tunnel OR fountain OR temple OR big top),4.6
207,((((object OR part-X OR object OR object OR object OR object OR object) AND NOT scene) OR object) AND NOT object),((((shelf OR balcony-X OR bookcase OR book OR videos OR file cabinet OR binder) AND NOT building facade-s) OR pantry) AND NOT pedestal),5.6
208,((object OR object OR object-X OR object-X OR object OR object-X OR object) AND NOT object-X),((person OR truck OR stretcher-X OR horse-X OR cradle OR cow-X OR sculpture) AND NOT car-X),4.1
209,(((((object-X AND object-X) OR object OR object-X OR object) AND NOT (part-X OR part-X)) OR object-X) CLOSE TO (object-X AND NOT object-X)),(((((floor-X AND wall-X) OR sofa OR box office-X OR coffee table) AND NOT (back-X OR arm-X)) OR lockers-X) CLOSE TO (wall-X AND NOT sofa-X)),6.2
210,(object-X OR object-X OR object OR object-X OR object OR object-X OR object-X OR part-X OR object OR part-X),(computer-X OR controls-X OR windmill OR instrument panel-X OR plane OR laptop-X OR synthesizer-X OR fuselage-X OR crt screen OR screen-X),4.3
211,(((object-X CLOSE TO object-X) OR object-X OR object-X OR object-X OR object-X OR object-X) AND NOT (object-X OR object OR object)),(((grass-X CLOSE TO building-X) OR runway-X OR bullring-X OR shirt-X OR gate-X OR pier-X) AND NOT (path-X OR road OR sidewalk)),4.9
212,(object-X OR object OR object OR object),(pool table-X OR chandelier OR fan OR altarpiece),3.8
213,(((object OR object) CLOSE TO (object OR object OR object OR part OR scene OR scene OR scene)) OR object-X),(((building OR house) CLOSE TO (door OR railing OR double door OR column OR casino-outdoor-s OR bank-outdoor-s OR general store-outdoor-s)) OR scaffolding-X),4.8
214,((((object-X OR object-X) CLOSE (object-X OR object-X OR object-X)) OR object OR object) AND NOT scene),((((stage-X OR slot machine-X) CLOSE (wall-X OR curtain-X OR arcade machine-X)) OR fountain OR ticket window) AND NOT bar-s),4.0
215,(((((object-X CLOSE TO (object-X OR object)) OR object-X OR part) CLOSE TO (object-X AND NOT object-X)) OR object) AND NOT (object-X OR scene)),(((((bed-X CLOSE TO (painting-X OR windowpane)) OR pillow-X OR headboard) CLOSE TO (wall-X AND NOT bed-X)) OR windmill) AND NOT (pool table-X OR living room-s)),4.4
216,(((((object-X CLOSE TO (object-X AND NOT part-X)) OR object-X) AND scene) OR object-X OR part-X OR part) AND NOT (object OR object-X)),(((((wall-X CLOSE TO (toilet-X AND NOT water tank-X)) OR sink-X) AND bathroom-s) OR shirt-X OR lid-X OR water tank) AND NOT (shelf OR counter-X)),4.0
217,(object-X OR object-X OR object OR object OR object-X OR object-X OR object-X OR object OR object OR object),(railway-X OR bowling alley-X OR case OR escalator OR tracks-X OR platform-X OR skittle alley-X OR conveyer belt OR bar OR central reservation),4.5
218,((((object-X OR object-X OR object-X OR object-X OR object) AND NOT object) OR object-X) AND NOT (object OR scene OR object-X)),((((plane-X OR horse-X OR helicopter-X OR net-X OR pillow) AND NOT bed) OR ring-X) AND NOT (ring OR boxing ring-s OR chair-X)),3.8
219,((object-X OR object) CLOSE TO ((((((scene OR scene) AND NOT object-X) OR scene OR object) AND NOT color) OR scene) AND NOT object-X)),((road-X OR signboard) CLOSE TO ((((((highway-s OR forest road-s) AND NOT road-X) OR mountain road-s OR embankment) AND NOT black-c) OR road cut-s) AND NOT central reservation-X)),7.4
220,(object OR object OR object OR object-X OR object-X OR object-X OR object OR object OR object OR object),(arcade machine OR pool table OR slot machine OR carousel-X OR roller coaster-X OR ride-X OR playground OR exhibitor OR stands OR big top),4.5
